datetime,open,high,low,close,volume
2022-02-07 09:15:00,17800,17819,17723,17772,33317
2022-02-07 09:45:00,17772,17846,17725,17736,37752
2022-02-07 10:15:00,17737,17776,17718,17745,18952
2022-02-07 10:45:00,17744,17758,17720,17721,11179
2022-02-07 11:15:00,17721,17747,17692,17742,12625
2022-02-07 11:45:00,17741,17798,17739,17794,9356
2022-02-07 12:15:00,17793,17830,17786,17817,10644
2022-02-07 12:45:00,17815,17868,17814,17862,13952
2022-02-07 13:15:00,17862,17886,17858,17876,9047
2022-02-07 13:45:00,17876,17899,17871,17898,13256
2022-02-07 15:30:00,17905,17930,17903,17914,4137
2022-02-07 16:00:00,17915,17923,17908,17915,1364
2022-02-07 16:30:00,17916,17922,17874,17881,3735
2022-02-07 17:00:00,17882,17901,17871,17896,2517
2022-02-07 17:30:00,17896,17903,17875,17886,1819
2022-02-07 18:00:00,17886,17889,17863,17878,2081
2022-02-07 18:30:00,17878,17885,17871,17882,1190
2022-02-07 19:00:00,17881,17887,17867,17872,1231
2022-02-07 19:30:00,17872,17891,17866,17887,1287
2022-02-07 20:00:00,17888,17901,17887,17893,1382
2022-02-07 20:30:00,17895,17910,17893,17898,1574
2022-02-07 21:00:00,17899,17912,17898,17907,1128
2022-02-07 21:30:00,17906,17924,17902,17913,1726
2022-02-07 22:00:00,17913,17914,17904,17909,1106
2022-02-07 22:30:00,17908,17910,17886,17899,1823
2022-02-07 23:00:00,17899,17946,17884,17940,9202
2022-02-07 23:30:00,17940,17947,17920,17937,4354
2022-02-08 00:00:00,17938,17950,17927,17941,2898
2022-02-08 00:30:00,17941,17947,17921,17930,2415
2022-02-08 01:00:00,17932,17932,17875,17905,5058
2022-02-08 01:30:00,17904,17912,17891,17891,1636
2022-02-08 02:00:00,17891,17915,17882,17906,1300
2022-02-08 02:30:00,17906,17934,17901,17933,1381
2022-02-08 03:00:00,17933,17945,17928,17943,1045
2022-02-08 03:30:00,17943,17951,17929,17950,1208
2022-02-08 04:00:00,17950,17962,17948,17957,1593
2022-02-08 04:30:00,17956,17968,17927,17928,1764
2022-02-08 05:00:00,17932,17938,17884,17900,3293
2022-02-08 09:15:00,17962,18032,17938,18019,31490
2022-02-08 09:45:00,18019,18045,17977,18027,26401
2022-02-08 10:15:00,18029,18037,17992,18013,14966
2022-02-08 10:45:00,18014,18046,17990,18015,15419
2022-02-08 11:15:00,18015,18042,18008,18011,9792
2022-02-08 11:45:00,18012,18037,18008,18015,7181
2022-02-08 12:15:00,18015,18031,18000,18022,5731
2022-02-08 12:45:00,18023,18028,18007,18019,3541
2022-02-08 13:15:00,18020,18043,18015,18035,5867
2022-02-08 13:45:00,18034,18035,17922,17939,22945
2022-02-08 15:30:00,17974,17977,17953,17957,5036
2022-02-08 16:00:00,17957,17965,17950,17956,1928
2022-02-08 16:30:00,17956,17968,17947,17966,1577
2022-02-08 17:00:00,17965,17973,17962,17967,1322
2022-02-08 17:30:00,17967,17981,17965,17976,1405
