datetime,open,high,low,close,volume
2022-02-07 09:00:00,17800,17819,17734,17767,16018
2022-02-07 09:15:00,17766,17786,17723,17772,17299
2022-02-07 09:30:00,17772,17846,17757,17838,19797
2022-02-07 09:45:00,17838,17842,17725,17736,17955
2022-02-07 10:00:00,17737,17763,17718,17741,10340
2022-02-07 10:15:00,17741,17776,17727,17745,8612
2022-02-07 10:30:00,17744,17758,17725,17739,5865
2022-02-07 10:45:00,17740,17754,17720,17721,5314
2022-02-07 11:00:00,17721,17725,17692,17724,8185
2022-02-07 11:15:00,17725,17747,17722,17742,4440
2022-02-07 11:30:00,17741,17771,17739,17768,4717
2022-02-07 11:45:00,17767,17798,17762,17794,4639
2022-02-07 12:00:00,17793,17802,17786,17790,4578
2022-02-07 12:15:00,17790,17830,17790,17817,6066
2022-02-07 12:30:00,17815,17864,17814,17840,9177
2022-02-07 12:45:00,17841,17868,17841,17862,4775
2022-02-07 13:00:00,17862,17883,17858,17874,4983
2022-02-07 13:15:00,17875,17886,17867,17876,4064
2022-02-07 13:30:00,17876,17897,17871,17876,7111
2022-02-07 13:45:00,17874,17899,17872,17898,6145
2022-02-07 15:15:00,17905,17930,17903,17926,2904
2022-02-07 15:30:00,17926,17929,17909,17914,1233
2022-02-07 15:45:00,17915,17923,17908,17913,736
2022-02-07 16:00:00,17914,17920,17909,17915,628
2022-02-07 16:15:00,17916,17922,17904,17906,1002
2022-02-07 16:30:00,17906,17908,17874,17881,2733
2022-02-07 16:45:00,17882,17891,17871,17887,1425
2022-02-07 17:00:00,17887,17901,17887,17896,1092
2022-02-07 17:15:00,17896,17903,17878,17882,1158
2022-02-07 17:30:00,17883,17893,17875,17886,661
2022-02-07 17:45:00,17886,17889,17875,17878,554
2022-02-07 18:00:00,17878,17882,17863,17878,1527
2022-02-07 18:15:00,17878,17882,17871,17881,768
2022-02-07 18:30:00,17882,17885,17875,17882,422
2022-02-07 18:45:00,17881,17884,17867,17879,683
2022-02-07 19:00:00,17876,17887,17870,17872,548
2022-02-07 19:15:00,17872,17880,17866,17876,655
2022-02-07 19:30:00,17876,17891,17875,17887,632
2022-02-07 19:45:00,17888,17895,17887,17888,769
2022-02-07 20:00:00,17889,17901,17887,17893,613
2022-02-07 20:15:00,17895,17907,17893,17906,905
2022-02-07 20:30:00,17906,17910,17896,17898,669
2022-02-07 20:45:00,17899,17907,17898,17905,527
2022-02-07 21:00:00,17905,17912,17904,17907,601
2022-02-07 21:15:00,17906,17921,17902,17918,900
2022-02-07 21:30:00,17918,17924,17912,17913,826
2022-02-07 21:45:00,17913,17914,17904,17907,763
2022-02-07 22:00:00,17907,17910,17904,17909,343
2022-02-07 22:15:00,17908,17910,17894,17895,639
2022-02-07 22:30:00,17896,17902,17886,17899,1184
2022-02-07 22:45:00,17899,17944,17884,17933,5773
2022-02-07 23:00:00,17934,17946,17920,17940,3429
2022-02-07 23:15:00,17940,17947,17922,17922,2718
2022-02-07 23:30:00,17922,17945,17920,17937,1636
2022-02-07 23:45:00,17938,17950,17927,17933,2061
2022-02-08 00:00:00,17933,17945,17932,17941,837
2022-02-08 00:15:00,17941,17947,17926,17931,1273
2022-02-08 00:30:00,17932,17940,17921,17930,1142
2022-02-08 00:45:00,17932,17932,17886,17889,2660
2022-02-08 01:00:00,17887,17909,17875,17905,2398
2022-02-08 01:15:00,17904,17907,17893,17900,868
2022-02-08 01:30:00,17897,17912,17891,17891,768
2022-02-08 01:45:00,17891,17902,17882,17898,678
2022-02-08 02:00:00,17898,17915,17895,17906,622
